门店名称,产品名称,剩余数量,库存单位,来源工作表
瓦房店,五香香肠(绿贴标)/风干大,3.0,件,肠
瓦房店,五香香肠(绿贴标)/风干大,6.0,包,肠
瓦房店,原味（漳州）,8.0,包,肠
瓦房店,台湾风味肉枣肠（那氏）,2.0,件,肠
瓦房店,塞维红肠,8.0,件,肠
瓦房店,塞维红肠,5.0,对,肠
瓦房店,大盘肠,1.0,包,肠
瓦房店,孜然（漳州）,9.0,包,肠
瓦房店,手工腊肠（中式香肠）,6.0,件,肠
瓦房店,排骨香肠（那氏）,1.0,件,肠
瓦房店,椰香,1.0,件,面食
瓦房店,牛舌(经典椒盐),1.0,件,面食
瓦房店,玉米味（漳州）,9.0,包,肠
瓦房店,蒜香（漳州）,8.0,包,肠
瓦房店,藤椒脆骨（漳州）,4.0,包,肠
瓦房店,蟹黄卤肉肠,3.0,包,肠
瓦房店,风干“原味风干肠”（东风）,8.0,包,肠
瓦房店,鱼籽味（天清）,2.0,包,肠
瓦房店,黑胡椒（漳州）,8.0,包,肠
瓦房店,黑鸭（漳州）,3.0,包,肠
