门店名称,产品名称,剩余数量,库存单位,来源工作表
星河店,五香香肠(绿贴标)/风干大,5.0,件,肠
星河店,五香香肠(绿贴标)/风干大,10.0,包,肠
星河店,原味（漳州）,8.0,包,肠
星河店,台湾风味肉枣肠（那氏）,1.0,件,肠
星河店,塞维红肠,6.0,件,肠
星河店,塞维红肠,24.0,对,肠
星河店,墨鱼,3.0,包,肠
星河店,孜然（漳州）,5.0,包,肠
星河店,手工腊肠（中式香肠）,8.0,包,肠
星河店,排骨香肠（那氏）,2.0,件,肠
星河店,板栗甜（栗子肉),1.0,件,面食
星河店,玉米味（漳州）,6.0,包,肠
星河店,玫瑰,1.0,件,面食
星河店,花瓣甜肠（那氏）,6.0,包,肠
星河店,蒜香（漳州）,9.0,包,肠
星河店,藤椒脆骨（漳州）,7.0,包,肠
星河店,香辣味（漳州）,1.0,包,肠
星河店,香酥肉卷（天清）,6.0,包,肠
星河店,鱼籽味（天清）,7.0,包,肠
星河店,黑胡椒（漳州）,8.0,包,肠
星河店,黑鸭（漳州）,6.0,包,肠
